	Phrase	new_sent
140592	Yakusho , as always , is wonderful as the long-faced sad sack ... and his chemistry with Shimizu is very believable .	1
81230	provides an invaluable service by sparking debate and encouraging thought .	1
27659	Rock solid family fun out of the gates , extremely imaginative through out , but wanes in the middle	1
99612	There are problems with this film that even 3 Oscar winners ca n't overcome	0
74505	includes a fair share of dumb drug jokes and predictable slapstick	0
7344	, they ca n't generate enough heat in this cold vacuum of a comedy to start a reaction .	0
85300	Mandel Holland 's direction is uninspired , and his scripting unsurprising	0
152042	Satan is throwing up his hands in surrender , is firing his R&D people , and has decided he will just screen The Master of Disguise 24\/7 .	0
84067	creates a portrait of two strong men in conflict , inextricably entwined through family history ,	1
9604	is still able to create an engaging story that keeps you guessing at almost every turn	1
99615	with this film that even 3 Oscar winners ca n't overcome	0
96457	Not only a reminder of how they used to make movies , but also how they sometimes still can be made .	1
45223	that wo n't win many fans over the age of 12	0
87327	to a kinetic life so teeming that even cranky adults may rediscover the quivering kid inside	1
62115	turns out to be more interesting than any of the character dramas , which never reach satisfying conclusions .	1
80205	establishes itself as a durable part of the movie landscape : a James Bond series for kids	1
96911	the lengths to which he 'll go to weave a protective cocoon around his own ego	0
55982	are familiar with , and makes you care about music you may not have heard before	1
149195	with the unfortunate trump card being the dreary mid-section of the film	0
47716	is so poorly paced you could fit all of Pootie Tang in between its punchlines	0
151321	As gory as the scenes of torture and self-mutilation may be , they are pitted against shimmering cinematography that lends the setting the ethereal beauty of an Asian landscape painting .	1
136457	enhances the quality of Neil Burger 's impressive fake documentary .	1
44910	whose restatement is validated by the changing composition of the nation	1
10947	keep you at the edge of your seat with its shape-shifting perils , political intrigue and brushes	1
93721	's a film that affirms the nourishing aspects of love and companionship	1
97318	The cast , collectively a successful example of the lovable-loser protagonist ,	1
16233	Once he starts learning to compromise with reality enough to become comparatively sane and healthy , the film becomes predictably conventional .	0
143087	It 's an effort to watch this movie , but it eventually pays off and is effective if you stick with it	1
135238	A Blair Witch - style adventure that plays like a bad soap opera , with passable performances from everyone in the cast .	0
22073	good to see Michael Caine whipping out the dirty words and punching people in the stomach again	1
52005	Nothing short of a masterpiece -- and a challenging one .	1
105324	so in love with its overinflated mythology that it no longer recognizes the needs of moviegoers for real characters and compelling plots .	0
48049	to one of the greatest plays of the last 100 years	1
92703	for the thousands of Indians who fancy themselves too sophisticated for the cheese-laced spectacles that pack 'em in on the subcontinent	0
110400	as though you rode the Zipper after eating a corn dog and an extra-large cotton candy	0
22739	'' feels capable of charming the masses with star power , a pop-induced score and sentimental moments that have become a Spielberg trademark .	1
52311	The overall fabric is hypnotic , and Mr. Mattei fosters moments of spontaneous intimacy .	1
46763	Meticulously uncovers a trail of outrageous force and craven concealment .	1
850	Hampered -- no , paralyzed -- by a self-indulgent script ...	0
66512	Klein , charming in comedies like American Pie and dead-on in Election , delivers one of the saddest action hero performances ever witnessed .	0
35839	a female friendship that is more complex and honest than anything represented in a Hollywood film	1
56189	with fantasies , daydreams , memories and one fantastic visual trope	1
135319	magic and whimsy for children , a heartfelt romance for teenagers and a compelling argument about death , both pro and con , for adults	1
133549	the funniest 5 minutes to date in this spy comedy franchise	1
26939	A seriocomic debut of extravagant promise by Georgian-Israeli director Dover Kosashvili .	1
20763	Only about as sexy and dangerous as an actress in a role that reminds at every turn of Elizabeth Berkley 's flopping dolphin-gasm .	0
57196	Directed without the expected flair or imagination by Hong Kong master John Woo , Windtalkers airs just about every cliche in the war movie compendium across its indulgent two-hour-and-fifteen-minute length .	0
98498	a lot more painful than an unfunny movie that thinks it 's hilarious	0
40790	about as exciting to watch as two last-place basketball teams playing one another on the final day of the season .	0
97479	one that typifies the delirium of post , pre , and extant stardom	1
12205	's a sweet , laugh-a-minute crowd pleaser that lifts your spirits as well as the corners of your mouth	1
13930	The early and middle passages are surprising in how much they engage and even touch us .	1
91586	along the way -- myriad signs , if you will -- that beneath the familiar , funny surface is a far bigger , far more meaningful story than one in which little green men come to Earth for harvesting purposes	1
45395	will leave you with a smile on your face and a grumble in your stomach	1
35160	be great to see this turd squashed under a truck , preferably a semi	0
3229	is better than any summer blockbuster we had to endure last summer , and hopefully , sets the tone for a summer of good stuff	1
97292	a series of tales told with the intricate preciseness of the best short story writing .	1
56242	is one of those rare docs that paints a grand picture of an era and makes the journey feel like a party .	1
6039	Provides the kind of ` laugh therapy ' I need from movie comedies	1
46271	this strangely schizo cartoon seems suited neither to kids or adults .	0
1332	Bloody Sunday has the grace to call for prevention rather than to place blame , making it one of the best war movies ever made .	1
117612	A completely spooky piece of business that gets under your skin and , some plot blips aside	1
78783	An inept , tedious spoof of '70s kung fu pictures , it contains almost enough chuckles for a three-minute sketch , and no more .	0
23415	is even worse than I imagined a movie ever could be	0
131814	Whether it 's the worst movie of 2002 , I ca n't say for sure : Memories of Rollerball have faded , and I skipped Country Bears	0
69453	wasted minutes of Sandler as the voice-over hero in Columbia Pictures ' perverse idea of an animated holiday movie	0
49961	takes on Nickleby with all the halfhearted zeal of an 8th grade boy delving	1
123544	a ` guy 's film ' in the worst sense of the expression .	0
140923	Pan Nalin 's exposition is beautiful and mysterious , and the interviews that follow , with the practitioners of this ancient Indian practice , are as subtle and as enigmatic	1
87871	do all three quite well , making it one of the year 's most enjoyable releases	1
81179	have made a great Saturday Night Live sketch , but a great movie it is not	0
119057	's undeniable enjoyment to be had from films crammed with movie references	1
144387	an ungainly movie , ill-fitting , with its elbows sticking out where the knees should be	0
134509	Roman Polanski 's autobiographical gesture at redemption is better than ` Shindler 's List ' - it is more than merely a Holocaust movie .	1
13351	might sit through this summer that do not involve a dentist drill	0
44720	With a completely predictable plot , you 'll swear that you 've seen it all before , even if you 've never come within a mile of The Longest Yard .	0
70082	, Cletis Tout might inspire a trip to the video store -- in search of a better movie experience .	0
94959	all in a plot as musty as one of the Golden Eagle 's carpets	0
84599	's so badly made on every level that I 'm actually having a hard time believing people were paid to make it	0
88784	's a tribute to the actress , and to her inventive director , that the journey is such a mesmerizing one	1
45828	at least a few good ideas and features some decent performances	1
102706	Sayles has an eye for the ways people of different ethnicities talk to and about others outside the group .	1
72780	-LRB- Kline 's -RRB- utterly convincing -- and deeply appealing -- as a noble teacher who embraces a strict moral code , and as a flawed human being who ca n't quite live up to it .	1
15087	's a terrible movie in every regard , and utterly painful to watch .	0
17383	Though few will argue that it ranks with the best of Herzog 's works , Invincible shows he 's back in form , with an astoundingly rich film .	1
107796	It is messy , uncouth , incomprehensible , vicious and absurd .	0
47653	a sweet , honest , and enjoyable comedy-drama about a young woman who wants many things in life , but fears she 'll become her mother before she gets to fulfill her dreams	1
47174	asks you to feel sorry for Mick Jagger 's sex life	0
115631	feels as immediate as the latest news footage from Gaza and , because of its heightened , well-shaped dramas , twice as powerful	1
32691	Maid in Manhattan proves that it 's easier to change the sheets than to change hackneyed concepts when it comes to dreaming up romantic comedies .	0
46905	Cassavetes thinks he 's making Dog Day Afternoon with a cause , but all he 's done is to reduce everything he touches to a shrill , didactic cartoon .	0
68663	Despite an impressive roster of stars and direction from Kathryn Bigelow	1
92215	is playful but highly studied and dependent for its success on a patient viewer	1
32564	is a light , fun cheese puff of a movie .	1
3570	had released the outtakes theatrically and used the film as a bonus feature on the DVD	1
98767	Strip it of all its excess debris , and you 'd have a 90-minute , four-star movie .	1
48089	've wasted nearly two hours of your own precious life with this silly little puddle of a movie	0
148920	I like all four of the lead actors a lot and they manage to squeeze a few laughs out of the material ,	1
154376	A wonderfully speculative character study that made up for its rather slow beginning by drawing me into the picture .	1
139635	will mistake it for an endorsement of the very things that Bean abhors	0
76749	of static set ups , not much camera movement , and most of the scenes	0
7475	of gags that rely on the strength of their own cleverness	1
76145	's a pleasure to have a film like The Hours as an alternative	1
133617	A grittily beautiful film that looks , sounds , and feels more like an extended , open-ended poem than a traditionally structured story .	1
93732	Presents a good case while failing to provide a reason for us to care beyond the very basic dictums of human decency	0
114568	The redeeming feature of Chan 's films has always been the action , but the stunts in The Tuxedo seem tired and , what 's worse , routine .	0
143521	If The Tuxedo actually were a suit , it would fit Chan like a $ 99 bargain-basement special .	0
53239	4Ever is neither a promise nor a threat so much as wishful thinking .	0
123639	Boasting some of the most poorly staged and lit action in memory , Impostor is as close as you can get to an imitation movie .	0
61334	shows how deeply felt emotions can draw people together across the walls that might otherwise separate them .	1
143276	, Soderbergh 's Solaris is a gorgeous and deceptively minimalist cinematic tone poem .	1
50259	a great American adventure and a wonderful film to bring to IMAX	1
153362	My only wish is that Celebi could take me back to a time before I saw this movie and I could just skip it .	0
90305	-LRB- Taymor -RRB- utilizes the idea of making Kahlo 's art a living , breathing part of the movie , often catapulting the artist into her own work .	1
88468	Though it 's not very well shot or composed or edited , the score is too insistent and the dialogue is frequently overwrought and crudely literal , the film shatters you in waves .	0
38973	between presiding over the end of cinema as we know it and another night of delightful hand shadows	0
126531	is expressly for idiots who do n't care what kind of sewage they shovel into their mental gullets to simulate sustenance	0
103032	The year 2002 has conjured up more coming-of-age stories than seem possible , but Take Care of My Cat emerges as the very best of them	1
29612	There are now two signs that M. Night Shyamalan 's debut feature sucked up all he has to give to the mystic genres of cinema : Unbreakable and Signs .	0
74261	is sickly entertainment at best and mind-destroying cinematic pollution at worst .	0
109950	watch Robert DeNiro belt out `` When you 're a Jet	1
46336	a big musical number like ` Praise the Lord , He 's the God of Second Chances '	1
85036	By turns touching , raucously amusing , uncomfortable , and , yes , even sexy , Never Again is a welcome and heartwarming addition to the romantic comedy genre .	1
103767	But this is not a movie about an inhuman monster ; it 's about a very human one	1
133675	, only with muscles and a lot more smarts , but just as endearing and easy to watch	1
36181	almost every relationship and personality in the film yields surprises .	1
128661	over the bombastic self-glorification of other feel-good fiascos like Antwone Fisher or The Emperor 's Club any time	1
29516	This is the kind of movie that you only need to watch for about thirty seconds before you say to yourself , ` Ah , yes , here we have a bad , bad , bad movie	0
78105	It 's been 13 months and 295 preview screenings since I last walked out on a movie ,	0
73853	We assume he had a bad run in the market or a costly divorce , because there is no earthly reason other than money why this distinguished actor would stoop so low .	0
101991	Audiences are advised to sit near the back and squint to avoid noticing some truly egregious lip-non-synching , but	0
133229	is ... very funny as you peek at it through the fingers in front of your eyes	1
66833	is an exercise in chilling style , and Twohy films the sub , inside and out	1
54999	sneaks up on you and stays with you long after you have left the theatre	1
25936	The large-format film is well suited to capture these musicians in full regalia	1
46778	A pretty funny movie , with most of the humor coming , as before , from the incongruous but chemically perfect teaming of Crystal and De Niro	1
88759	This odd , poetic road movie , spiked by jolts of pop music , pretty much takes place in Morton 's ever-watchful gaze -- and it 's a tribute to the actress , and to her inventive director , that the journey is such a mesmerizing one	1
57909	This humbling little film , fueled by the light comedic work of Zhao Benshan and the delicate ways of Dong Jie , is just the sort for those moviegoers who complain that ` they do n't make movies like they used to anymore . '	1
48849	, some things are immune to the folly of changing taste and attitude .	0
45198	is the first film I 've ever seen that had no obvious directing involved	0
38124	you of why animation is such a perfect medium for children , because of the way it allows the mind to enter and accept another world	1
153845	is nothing compared to the movie 's contrived , lame screenplay and listless direction	0
73912	find a movie with a bigger , fatter heart than Barbershop	1
150900	worth a look for its true-to-life characters , its sensitive acting , its unadorned view of rural life and the subtle direction of first-timer Hilary Birmingham	1
86283	Transcends its agenda to deliver awe-inspiring , at times sublime , visuals	1
53515	Naqoyqatsi ' is banal in its message and the choice of material to convey it .	0
45739	Try this obscenely bad dark comedy , so crass that it makes Edward Burns ' Sidewalks of New York look like Oscar Wilde	0
128306	like E.T. the first time I saw it as a young boy	1
110514	Dogtown is hollow , self-indulgent , and - worst of all - boring .	0
37951	as rude and profane as ever , always hilarious and , most of the time ,	1
86281	Transcends its agenda to deliver awe-inspiring , at times sublime , visuals and offer a fascinating glimpse into the subculture of extreme athletes whose derring-do puts the X into the games	1
113060	Offers laughs and insight into one of the toughest ages a kid can go through .	1
134879	It 's supposed to be a romantic comedy - it suffers from too much Norma Rae and not enough Pretty Woman .	0
69372	an eerily suspenseful , deeply absorbing piece that works as a treatise on spirituality as well as a solid sci-fi thriller	1
36641	can watch , giggle and get an adrenaline boost without feeling like you 've completely lowered your entertainment standards .	1
148811	like High Crimes flog the dead horse of surprise as if it were an obligation .	0
86001	Hugh Grant 's act is so consuming that sometimes it 's difficult to tell who the other actors in the movie are .	1
149576	Paxton , making his directorial feature debut , does strong , measured work .	1
46818	made a film that is an undeniably worthy and devastating experience	1
36055	Broomfield is energized by Volletta Wallace 's maternal fury , her fearlessness , and because of that , his film crackles .	1
103800	which undercuts the devastatingly telling impact of utter loss personified in the film 's simple title	1
152108	brought back the value and respect for the term epic cinema	1
22696	that the ` true story ' by which All the Queen 's Men is allegedly `` inspired '' was a lot funnier and more deftly enacted than what 's been cobbled together onscreen	0
116539	it 's hard to like a film so cold and dead	0
101559	A deliciously nonsensical comedy about a city coming apart at its seams	1
54346	like a highbrow , low-key , 102-minute infomercial , blending entrepreneurial zeal with the testimony of satisfied customers	0
78926	a humorous , all-too-human look at how hope can breed a certain kind of madness -- and strength	1
69047	's ... worth the extra effort to see an artist , still committed to growth in his ninth decade , change while remaining true to his principles with a film whose very subject is , quite pointedly , about the peril of such efforts .	1
125477	satisfactorily exploit its gender politics , genre thrills or inherent humor	0
75012	, Robert Rodriguez adorns his family-film plot with an elegance and maturity that even most contemporary adult movies are lacking .	1
97732	its invitingly upbeat overture to its pathos-filled but ultimately life-affirming finale	1
154895	A new film from Bill Plympton , the animation master , is always welcome .	1
45164	stands still in more ways that one in Clockstoppers , a sci-fi thriller as lazy as it is interminable	0
54035	The characters ... are paper-thin , and their personalities undergo radical changes when it suits the script .	0
30679	's impossible to claim that it is `` Based on a True Story '' with a straight face .	0
37732	Goldbacher draws on an elegant visual sense and a talent for easy , seductive pacing ...	1
58089	Yu clearly hopes to camouflage how bad his movie is .	0
114473	It 's Tommy 's job to clean the peep booths surrounding her , and after viewing this one , you 'll feel like mopping up , too .	0
150443	It should be doing a lot of things , but does n't .	0
65639	is ultimately scuttled by a plot that 's just too boring and obvious	0
74123	of flimsy -- or , worse yet , nonexistent -- ideas	0
98448	's no disguising this as one of the worst films of the summer	0
53906	It asks nothing of the audience other than to sit back and enjoy a couple of great actors hamming it up .	1
66605	still to believe that anyone in his right mind would want to see the it	0
120139	which are such that we 'll keep watching the skies for his next project	1
59507	a terrible adaptation of a play that only ever walked the delicate tightrope between farcical and loathsome .	0
97828	It reduces the complexities to bromides and slogans and it gets so preachy-keen and so tub-thumpingly loud it makes you feel like a chump just for sitting through it	0
142601	here his sense of story and his juvenile camera movements smack of a film school undergrad	0
147047	'll be too busy cursing the film 's strategically placed white sheets .	0
153508	A powerful performance from Mel Gibson and a brutal 90-minute battle sequence that does everything but issue you a dog-tag and an M-16	1
68507	, it 's a very entertaining , thought-provoking film with a simple message	1
1336	has the grace to call for prevention rather than to place blame , making it one of the best war movies ever made .	1
123249	works because its flabbergasting principals , 14-year-old Robert MacNaughton , 6-year-old Drew Barrymore and 10-year-old Henry Thomas , convince us of the existence of the wise , wizened visitor from a faraway planet	1
93337	hindered by a central plot that 's peppered with false starts and populated by characters who are nearly impossible to care about	0
27847	In the book-on-tape market , the film of `` The Kid Stays in the Picture '' would be an abridged edition	0
9311	as three of the most multilayered and sympathetic female characters of the year	1
66783	the problem with Wendigo , for all its effective moments , is n't really one of resources .	0
27544	a spark of life to it -- more than you can say for plenty of movies that flow through the Hollywood pipeline without a hitch	1
62162	A smart and funny , albeit sometimes superficial , cautionary tale of a technology in search of an artist	1
17571	so Howard appears to have had free rein to be as pretentious as he wanted	0
20362	This is one of the outstanding thrillers of recent years .	1
143896	is like Scorsese 's Mean Streets redone by someone who ignored it in favor of old ` juvenile delinquent ' paperbacks with titles like Leather Warriors and Switchblade Sexpot	0
54375	potboiler until its absurd , contrived , overblown , and entirely implausible finale .	0
49910	-LRB- The film -RRB- tackles the topic of relationships in such a straightforward , emotionally honest manner that by the end , it 's impossible to ascertain whether the film is , at its core , deeply pessimistic or quietly hopeful .	1
94414	a tearjerker that does n't and a thriller that wo n't	0
33477	A story which fails to rise above its disgusting source material .	0
134439	almost every possible way -- from the writing and direction to the soggy performances --	0
74121	a core of flimsy -- or , worse yet , nonexistent -- ideas	0
88541	is the death of self ... this Orgasm -LRB- wo n't be an -RRB- exceedingly memorable one for most people	0
139663	What saves this deeply affecting film from being merely a collection of wrenching cases is Corcuera 's attention to detail .	1
81327	seen -LRB- Eddie -RRB- Murphy do the genial-rogue shtick to death , but because the plot is equally hackneyed	0
145585	Nettelbeck sees working women -- or at least this working woman -- for whom she shows little understanding	0
32061	Kirshner and Monroe seem to be in a contest to see who can out-bad-act the other .	0
121741	, the film is doing something of a public service -- shedding light on a group of extremely talented musicians who might otherwise go unnoticed and underappreciated by music fans .	1
117128	will find in these characters ' foibles a timeless and unique perspective .	1
76793	all comes together to create a very compelling , sensitive , intelligent and almost cohesive piece of film entertainment	1
119070	thin -- then out -- when there 's nothing else happening	0
125374	is shifty in the manner in which it addresses current terrorism anxieties and sidesteps them at the same time .	0
68851	have you leaving the theater with a smile on your face	1
27570	The unexplored story opportunities of `` Punch-Drunk Love '' may have worked against the maker 's minimalist intent but it is an interesting exercise by talented writer\/director Anderson .	1
73407	finally makes Sex With Strangers , which opens today in the New York metropolitan area , so distasteful	0
106811	in terms of its style , the movie is in a class by itself	1
21071	This slight premise ... works because of the ideal casting of the masterful British actor Ian Holm as the aged Napoleon .	1
36746	As David Letterman and The Onion have proven , the worst of tragedies can be fertile sources of humor , but Lawrence has only a fleeting grasp of how to develop them .	0
27803	A lame romantic comedy about an unsympathetic character and someone who would not likely be so stupid as to get involved with her .	0
8955	An ambitious movie that , like Shiner 's organizing of the big fight , pulls off enough of its effects to make up for the ones that do n't come off .	1
149866	a good ear for dialogue , and the characters sound like real people	1
18363	if I said my ribcage did n't ache by the end of Kung Pow	1
5719	difficult to imagine that a more confused , less interesting and more sloppily made film could possibly come down the road in 2002	0
10380	is structured less as a documentary and more as a found relic	1
18361	be lying if I said my ribcage did n't ache by the end of Kung Pow	1
73985	encourage young and old alike to go see this unique and entertaining twist on the classic whale 's tale	1
113491	marks him as one of the most interesting writer\/directors working today	1
129403	, mass drug-induced bowel evacuations , and none-too-funny commentary on the cultural distinctions between Americans and Brits .	0
51575	The charms of the lead performances allow us to forget most of the film 's problems .	1
110002	a movie that might have been titled ` The Loud and the Ludicrous '	0
67983	This remake of Lina Wertmuller 's 1975 eroti-comedy might just be the biggest husband-and-wife disaster since John and	0
21583	Real Women Have Curves wears its empowerment on its sleeve but even its worst harangues are easy to swallow thanks to remarkable performances by Ferrera and Ontiveros	1
132260	The attempt to build up a pressure cooker of horrified awe emerges from the simple fact that the movie has virtually nothing to show .	0
41370	this film always keeping the balance between the fantastic and the believable	1
53763	makes a feature debut that is fully formed and remarkably assured .	1
142162	A very good film sits in the place where a masterpiece should be .	1
59655	a bad sign when you 're rooting for the film to hurry up and get to its subjects ' deaths just so the documentary will be over	0
152071	A delicious , quirky movie with a terrific screenplay and fanciful direction by Michael Gondry	1
69292	carries a little too much ai n't - she-cute baggage into her lead role as a troubled and determined homicide cop to quite pull off the heavy stuff	0
47707	This flat run at a hip-hop Tootsie is so poorly paced you could fit all of Pootie Tang in between its punchlines .	0
115169	if the poor quality of Pokemon 4 Ever is any indication	0
14277	the story and the actors are served with a hack script .	0
82824	, Nicholas Nickleby is too much like a fragment of an underdone potato .	0
70931	clumsily staged violence overshadows everything , including most of the actors .	0
50152	Jones has delivered a solidly entertaining and moving family drama .	1
72194	one as brave and challenging as you could possibly expect these days from American cinema	1
94703	A waterlogged version of ` Fatal Attraction ' for the teeny-bopper set ... a sad , soggy potboiler that wastes the talents of its attractive young leads	0
57230	An undeniably moving film to experience , and ultimately that 's what makes it worth a recommendation .	1
127217	A delicious and delicately funny look at the residents of a Copenhagen neighborhood coping with the befuddling complications life tosses at them .	1
146014	For something as splendid-looking as this particular film , the viewer expects something special but instead gets -LRB- sci-fi -RRB- rehash .	0
126265	, it probably would look a lot like this alarming production , adapted from Anne Rice 's novel The Vampire Chronicles .	0
149260	justify a theatrical simulation of the death camp of Auschwitz II-Birkenau	0
46405	Stanley Kwan has directed not only one of the best gay love stories ever made , but	1
136884	should be commended for illustrating the merits of fighting hard for something that really matters	1
99546	IS as bad as you think , and worse than you can imagine .	0
121870	Just another generic drama that has nothing going for it other than its exploitive array of obligatory cheap	0
129783	is no match for the insipid script he has crafted with Harris Goldberg	0
23934	it never finds a consistent tone and lacks bite , degenerating into a pious , preachy soap opera	0
111094	An instance of an old dog not only learning but inventing a remarkable new trick .	1
130689	the populace that made A Walk to Remember a niche hit	1
111235	should have ditched the artsy pretensions and revelled in the entertaining shallows	0
106310	's insecure in Lovely and Amazing , a poignant and wryly amusing film about mothers , daughters and their relationships .	1
147725	this arrogant Richard Pryor wannabe 's routine is offensive , puerile and unimaginatively foul-mouthed if it was at least funny	0
82376	Even if the enticing prospect of a lot of nubile young actors in a film about campus depravity did n't fade amid the deliberate , tiresome ugliness	0
22269	An incredibly irritating comedy about thoroughly vacuous people ... manages to embody the worst excesses of nouvelle vague without any of its sense of fun or energy .	0
37828	he can not overcome the sense that Pumpkin is a mere plot pawn for two directors with far less endearing disabilities .	0
14194	-LRB- the film -RRB- works , due mostly to the tongue-in-cheek attitude of the screenplay	1
10945	to keep you at the edge of your seat with its shape-shifting perils , political intrigue and brushes with calamity	1
9669	going to recommend SECRETARY , based on the wonderful acting clinic put on by Spader and Gyllenhaal	1
67640	of the people who loved the 1989 Paradiso will prefer this new version	1
35992	went back to Newcastle , the first half of Gangster No. 1 drips with style and , at times , blood .	1
40659	Real Women may have many agendas , but it also will win you over , in a big way .	1
132395	it is hard to conceive anyone else in their roles .	1
58423	I hate the feeling of having been slimed in the name of High Art .	0
18305	the affable Maid in Manhattan , Jennifer Lopez 's most aggressive and most sincere attempt	1
132557	Talk To Her is not the perfect movie many have made it out to be , but it 's still quite worth seeing .	1
93139	Van Wilder does little that is actually funny with the material	0
89154	Memorable for a peculiar malaise that renders its tension flaccid and , by extension , its surprises limp and its resolutions ritual .	0
84909	with the breathtaking landscapes and villainous varmints there to distract you from the ricocheting	1
133495	For the future , one hopes Mr. Plympton will find room for one more member of his little band , a professional screenwriter .	0
85455	Every moment crackles with tension , and by the end of the flick , you 're on the edge of your seat	1
144446	in the work of the director , Frank Novak , that keeps the film grounded in an undeniable social realism	1
99635	does a splendid job of racial profiling Hollywood style -- casting excellent Latin actors of all ages -- a trend long overdue	1
138605	whose engaging manner and flamboyant style made him a truly larger-than-life character	1
132274	emerges from the simple fact that the movie has virtually nothing to show .	0
16195	While Tattoo borrows heavily from both Seven and The Silence of the Lambs , it manages to maintain both a level of sophisticated intrigue and human-scale characters that suck the audience in .	1
132105	a cast that seems to include every top-notch British actor who did not appear in Gosford Park -LRB- as well as one , Ms. Mirren , who did -RRB-	1
21616	's a whole heap of nothing at the core of this slight coming-of-age\/coming-out tale .	0
153475	, the only way for a reasonably intelligent person to get through The Country Bears is to ponder how a whole segment of pop-music history has been allowed to get wet , fuzzy and sticky .	0
83073	Shreve 's graceful dual narrative gets clunky on the screen , and we keep getting torn away from the compelling historical tale to a less-compelling soap opera	0
149575	, Paxton , making his directorial feature debut , does strong , measured work .	1
120824	it will just as likely make you weep , and it will do so in a way that does n't make you feel like a sucker	1
131141	it 's a wacky and inspired little film that works effortlessly at delivering genuine , acerbic laughs .	1
48798	jaw-dropping action sequences , striking villains , a gorgeous color palette , astounding technology , stirring music and a boffo last hour	1
130536	just wants to be liked by the people who can still give him work .	1
31858	to the perkiness of Witherspoon -LRB- who is always a joy to watch , even when her material is not first-rate -RRB-	1
94811	the website feardotcom.com or the improperly hammy performance from poor Stephen Rea	0
127030	viewers out in the cold and undermines some phenomenal performances .	0
155048	Girlfriends are bad , wives are worse and babies are the kiss of death in this bitter Italian comedy .	0
37117	unlike -LRB- Scorsese 's Mean Streets -RRB- , Ash Wednesday is essentially devoid of interesting characters or even a halfway intriguing plot .	0
62032	It 's sweet and fluffy at the time , but it may leave you feeling a little sticky and unsatisfied .	0
59806	So beautifully acted and directed , it 's clear that Washington most certainly has a new career ahead of him if he so chooses .	1
5909	, Narc strikes a defiantly retro chord , and outpaces its contemporaries with daring and verve .	1
59060	whether to admire the film 's stately nature and call it classicism or be exasperated by a noticeable lack of pace	0
152034	In a big corner office in Hell , Satan is throwing up his hands in surrender , is firing his R&D people , and has decided he will just screen The Master of Disguise 24\/7 .	0
37401	and well acted ... but admittedly problematic in its narrative specifics	1
21197	amused and entertained by the unfolding of Bielinsky 's cleverly constructed scenario ,	1
131368	to hear how John Malkovich 's reedy consigliere will pronounce his next line	1
31866	who is always a joy to watch , even when her material is not first-rate	1
140721	Costner 's warm-milk persona is just as ill-fitting as Shadyac 's perfunctory directing chops	0
155767	The Santa Clause 2 is a barely adequate babysitter for older kids ,	0
37373	This is the best Star Trek movie in a long time .	1
126886	is one of the most repellent things to pop up in a cinematic year already littered with celluloid garbage .	0
101456	's also one that , next to his best work , feels clumsy and convoluted	0
51366	should have been the be-all-end-all of the modern-office anomie films .	0
94827	gets added disdain for the fact that it is nearly impossible to look at or understand .	0
127715	, it 's also a -- dare I say it twice -- delightfully charming -- and totally American , I might add -- slice of comedic bliss .	1
148005	suffers from the addition of a wholly unnecessary pre-credit sequence designed to give some of the characters a ` back story	0
149826	is so sketchy it amounts to little more than preliminary notes for a science-fiction horror film	0
81321	's not only dull because we 've seen -LRB- Eddie -RRB- Murphy do the genial-rogue shtick to death , but because the plot is equally hackneyed	0
66644	that are repeatedly undercut by the brutality of the jokes , most at women 's expense	0
80869	I like my Christmas movies with more elves and snow and less pimps and ho 's .	0
138873	The movie is the equivalent of French hip-hop , which also seems to play on a 10-year delay .	0
135614	one of the most beautiful , evocative works I 've seen	1
82897	The direction has a fluid , no-nonsense authority , and the performances by Harris , Phifer and Cam ` ron seal the deal	1
19006	Fast and funny , an action cartoon that 's suspenseful enough for older kids but not too scary for the school-age crowd	1
112171	its seemingly eternal running time to pique your interest , your imagination , your empathy or anything , really , save your disgust and your indifference	0
70281	will leave you wanting more , not to mention leaving you with some laughs and a smile on your face .	1
65309	The audience when I saw this one was chuckling at all the wrong times , and that 's a bad sign when they 're supposed to be having a collective heart attack .	0
47317	But it could be , by its art and heart , a necessary one .	1
78563	us riveted with every painful nuance , unexpected flashes of dark comedy and the character 's gripping humanity	1
124146	so vividly that the artist 's work may take on a striking new significance for anyone who sees the film	1
9741	is a good-hearted ensemble comedy with a variety of quirky characters and an engaging story .	1
18275	has been trying to pass off as acceptable teen entertainment for some time now .	0
135246	plays like a bad soap opera , with passable performances from everyone in the cast	0
35709	Represents a worthy departure from the culture clash comedies that have marked an emerging Indian American cinema	1
85751	are fun and reminiscent of combat scenes from the Star Wars series .	1
119307	a tour de force , written and directed so quietly that it 's implosion rather than explosion you fear	1
145852	's a work that , with humor , warmth , and intelligence , captures a life interestingly lived	1
46949	When not wallowing in its characters ' frustrations , the movie is busy contriving false , sitcom-worthy solutions to their problems .	0
1919	has an ambition to say something about its subjects , but not a willingness .	0
25723	loneliness and the chilly anonymity of the environments where so many of us spend so much of our time	0
143174	Rarely has a film 's title served such dire warning .	0
12039	multi-layered and profoundly humanist -LRB- not to mention gently political -RRB- meditation	1
84432	It is different from others in its genre in that it is does not rely on dumb gags , anatomical humor , or character cliches ; it primarily relies on character to tell its story .	1
47779	This is a fudged opportunity of gigantic proportions -- a lunar mission with no signs of life .	0
108174	you 're looking for an intelligent movie in which you can release your pent up anger	1
30319	boarders from Venice Beach that was a deserved co-winner of the Audience Award for documentaries at the Sundance Film Festival	1
58712	a refreshingly smart and newfangled variation on several themes derived from far less sophisticated and knowing horror films	1
